 solution    sample_size mean    stdev
(10, 23, 26, 31, 34, 44, 46, 49, )
 10  2671.296749  3.601233

(20, 23, 26, 31, 34, 44, 49, )
 2000  2627.806110  0.289944

(23, 26, 31, 34, 44, 46, 49, )
 35  2632.161398  1.983747

(10, 23, 26, 31, 34, 45, 46, 49, )
 247  2634.328872  0.863969

(10, 20, 23, 26, 31, 34, 45, 47, )
 45  2681.213453  1.959889

(8, 23, 26, 31, 34, 44, 46, 49, )
 366  2631.048102  0.681924

(10, 20, 23, 26, 31, 34, 49, )
 1876  2628.466280  0.301866

(20, 23, 26, 31, 34, 46, 49, )
 20  2698.190370  2.403754

(20, 23, 26, 31, 34, 44, 46, 47, 49, )
 44  2634.034924  1.799286

(10, 23, 26, 31, 34, 45, 46, )
 202  2643.787637  0.950241

(3, 23, 26, 32, 34, 46, 49, )
 10  2641.570164  3.986052

(20, 23, 26, 31, 34, 44, 46, 49, )
 186  2632.917242  0.956701

(8, 23, 26, 31, 34, 44, 46, 47, 49, )
 32  2634.579838  2.245268

(10, 23, 26, 31, 34, 46, 49, )
 604  2629.047196  0.541888

(8, 10, 23, 26, 31, 34, 46, 49, )
 106  2631.308383  1.205267

(20, 23, 28, 31, 34, 44, 45, )
 10  2658.034349  5.037874

(20, 23, 26, 31, 34, 44, 45, 46, 47, )
 33  2688.449161  1.893985

(10, 12, 23, 26, 34, 46, )
 12  2689.495252  4.107891

(9, 23, 26, 31, 34, 44, 49, )
 10  2641.637167  4.338947

(8, 10, 20, 23, 26, 34, )
 11  2664.150330  2.840026

(20, 23, 26, 31, 34, 44, 45, 46, 49, )
 28  2635.445518  2.201993

(10, 20, 23, 26, 31, 34, 46, 47, )
 10  2641.031299  5.119007

(10, 23, 26, 31, 34, 46, )
 18  2643.088775  3.041845

(8, 10, 20, 23, 26, 31, 34, 45, 49, )
 10  2642.685435  4.031675

(3, 23, 26, 34, 46, 47, )
 12  2651.082720  3.715205

(20, 23, 26, 31, 34, 44, 47, 49, )
 295  2633.046131  0.780460

(8, 20, 23, 26, 31, 34, 44, 49, )
 11  2635.069405  2.957125

(8, 9, 23, 26, 31, 34, 44, 46, 49, )
 11  2639.460904  4.156162

(8, 10, 20, 23, 26, 31, 34, 49, )
 170  2631.835387  0.971739

