 solution    sample_size mean    stdev
(2, 5, 8, 10, 23, 24, 26, )
 200  3116.685757  8.555336

(2, 5, 8, 10, 20, 23, 24, 26, )
 4000  3051.934986  1.766602

(3, 5, 8, 10, 14, 23, 24, 26, )
 78  3093.158041  13.620561

(5, 8, 10, 20, 23, 24, 26, )
 10  3195.561328  29.569995

(5, 8, 10, 14, 20, 23, 24, 26, )
 1593  3059.418848  2.739039

(2, 3, 5, 8, 10, 20, 23, 24, 26, )
 58  3096.085293  14.918081

(2, 5, 8, 10, 14, 18, 23, 24, 26, )
 18  3134.105455  27.849650

(5, 8, 10, 14, 23, 24, 26, )
 663  3061.742478  4.300572

(5, 8, 10, 14, 20, 23, 24, )
 60  3098.721182  14.784737

(2, 5, 8, 10, 14, 20, 23, 24, 26, )
 3395  3056.686854  1.854069

(5, 8, 10, 23, 24, 26, )
 167  3563.704253  10.434929

(2, 5, 8, 9, 10, 14, 20, 23, 24, 26, )
 88  3085.228692  10.355573

(2, 5, 8, 10, 14, 23, 24, 26, )
 232  3074.783121  7.060171

(5, 8, 10, 11, 14, 23, 24, 26, )
 206  3080.129780  8.073740

(2, 5, 8, 10, 11, 20, 23, 24, 26, )
 345  3081.399528  6.000690

(2, 5, 8, 10, 14, 20, 23, 24, )
 84  3095.461717  12.080299

(5, 6, 8, 9, 10, 14, 20, 23, 24, )
 13  3187.840912  23.129670

